userID,poiID,numberofPhotos,startTime,stopTime,seqID,poiTheme,poiFreq,temperature (C),precipitation (mm),cloud_cover (%),windspeed (km/h)
10013963@N06,F128,1,1276780804,1276780804,0,esercizistoricidifirenze,216,,,,
10013963@N06,F120,5,1276781082,1276781721,0,sculturedinannidibanco,699,17.2,0.0,18.0,4.7
10013963@N06,F110,2,1276781874,1276781898,0,cattedraledisantamariadelfiore,753,17.3,0.0,18.0,4.7
10013963@N06,F101,1,1276782098,1276782098,0,piazzedifirenze,284,17.2,0.0,18.0,4.7
10013963@N06,F149,2,1276783375,1276783394,0,palazzidelleartidifirenze,81,17.2,0.0,9.0,5.4
10013963@N06,F168,1,1276783471,1276783471,0,monumentiequestri,394,17.2,0.0,9.0,5.4
10013963@N06,F158,4,1276783915,1276783978,0,sculturebronzee,352,17.2,0.0,9.0,5.4
10013963@N06,F236,4,1276784377,1276785135,0,uffizi,515,17.3,0.0,9.0,5.4
10013963@N06,F256,2,1276785330,1276785521,0,pontidifirenze,1150,17.3,0.0,9.0,5.4
10013963@N06,F679,1,1276785948,1276785948,0,fontanedifirenze,142,17.2,0.0,9.0,5.4
10013963@N06,F176,1,1276786064,1276786064,0,esercizistoricidifirenze,150,17.2,0.0,9.0,5.4
10013963@N06,F149,1,1276786100,1276786100,0,palazzidelleartidifirenze,81,17.2,0.0,9.0,5.4
10013963@N06,F106,1,1276786574,1276786574,0,architettureromanichedifirenze,535,17.2,0.0,9.0,5.4
10013963@N06,F121,1,1276787923,1276787923,0,cupole,471,16.9,0.0,9.0,2.4
10013963@N06,F120,1,1276787965,1276787965,0,sculturedinannidibanco,699,16.9,0.0,9.0,2.4
10013963@N06,F121,11,1276788121,1276789403,0,cupole,471,16.9,0.0,9.0,2.4
10013963@N06,F127,2,1276789425,1276789647,0,palazzidifirenze,228,17.0,0.0,9.0,2.4
10013963@N06,F665,1,1276794953,1276794953,0,residenzedeimedici,36,15.6,0.0,84.0,2.2
10040260@N08,F152,18,1248417839,1248423658,1,palazzovecchio,543,32.3,0.0,0.0,13.7
10040260@N08,F256,15,1248423808,1248424600,1,pontidifirenze,1150,31.5,0.0,0.0,13.0
10040260@N08,F126,45,1248425671,1248431730,1,museidiscultura,125,31.4,0.0,0.0,13.0
10040260@N08,F660,1,1248435252,1248435252,1,palazzidifirenze,41,27.3,0.0,0.0,6.7
10040260@N08,F662,5,1248435277,1248438189,1,stradedifirenze,20,27.3,0.0,0.0,6.7
10040260@N08,F660,1,1248451894,1248451894,1,palazzidifirenze,41,21.4,0.0,8.0,6.6
10049354@N06,F151,1,1334504288,1334504288,2,piazzedifirenze,780,6.8,0.0,5.0,5.8
10049354@N06,F249,1,1334511368,1334511368,2,torridifirenze,567,5.2,0.0,9.0,5.1
10054870@N05,F151,1,1213250814,1213250814,3,piazzedifirenze,780,19.5,0.4,100.0,7.6
10054870@N05,F170,2,1213251080,1213251519,3,chiesescomparsedifirenze,107,19.5,0.4,100.0,7.6
10054870@N05,F151,1,1213251736,1213251736,3,piazzedifirenze,780,19.5,0.4,100.0,7.6
10054870@N05,F234,1,1213251760,1213251760,3,museidiscienza,265,19.4,0.4,100.0,7.6
10054870@N05,F249,1,1213251879,1213251879,3,torridifirenze,567,19.5,0.4,100.0,7.6
10054870@N05,F151,1,1213251989,1213251989,3,piazzedifirenze,780,19.5,0.4,100.0,7.6
10054870@N05,F732,1,1213254142,1213254142,3,palazzidifirenze,21,19.1,3.1,100.0,7.8
10054870@N05,F127,2,1213256857,1213257062,3,palazzidifirenze,228,19.2,3.1,100.0,7.8
10054870@N05,F103,3,1213257256,1213257339,3,palazzidifirenze,100,19.1,3.1,100.0,7.8
10084825@N03,F575,1,1183698917,1183698917,4,basilicadisanlorenzo(firenze),49,27.7,0.0,0.0,13.8
10084825@N03,F256,2,1183700094,1183700560,4,pontidifirenze,1150,27.8,0.0,0.0,13.8
10087462@N07,F431,2,1193147870,1193147928,5,piazzedifirenze,481,10.8,0.0,26.0,3.1
10087462@N07,FIPOIHPC1000000396,1,1193150340,1193150340,5,basilicadisanminiatoalmonte,179,8.7,0.0,43.0,3.1
10087462@N07,F119,1,1213553658,1213553658,6,cattedralidedicateamaria,571,13.4,0.3,100.0,1.8
10087462@N07,F128,5,1213553695,1213553892,6,esercizistoricidifirenze,216,13.3,0.3,100.0,1.8
10087462@N07,F104,1,1213555357,1213555357,6,palazzidifirenze,186,13.3,0.3,100.0,1.8
10087462@N07,F128,3,1213555414,1213555789,6,esercizistoricidifirenze,216,13.3,0.3,100.0,1.8
10088862@N04,F911,1,1186153950,1186153950,7,sedibancariedifirenze,17,20.2,0.0,7.0,6.3
10088862@N04,F110,2,1186168592,1186169393,7,cattedraledisantamariadelfiore,753,18.1,0.0,15.0,7.4
10088862@N04,F158,1,1186242766,1186242766,8,sculturebronzee,352,17.7,0.0,0.0,5.9
10088862@N04,F137,1,1186253682,1186253682,8,edificidicultodedicatiamaria,35,15.8,0.0,6.0,5.6
10101061@N06,F256,2,1215488653,1215490428,9,pontidifirenze,1150,24.6,0.0,36.0,18.7
10101061@N06,F680,1,1215491125,1215491125,9,mercatidifirenze,398,24.5,0.0,33.0,18.8
10101697@N02,F541,1,1282836944,1282836944,10,stradedifirenze,88,20.0,0.0,4.0,6.6
10101697@N02,F119,1,1282838839,1282838839,10,cattedralidedicateamaria,571,20.7,0.0,13.0,5.4
10101697@N02,F107,1,1282840323,1282840323,10,sculturedilorenzoghiberti,969,20.7,0.0,13.0,5.4
10101697@N02,F120,1,1282842658,1282842658,10,sculturedinannidibanco,699,19.4,0.0,64.0,4.0
10101697@N02,F121,1,1282843655,1282843655,10,cupole,471,19.4,0.0,64.0,4.0
10101697@N02,F126,1,1282843779,1282843779,10,museidiscultura,125,19.4,0.0,64.0,4.0
10101697@N02,F256,1,1282848743,1282848743,10,pontidifirenze,1150,19.5,0.0,51.0,3.6
10101918@N08,F727,1,1282247109,1282247109,11,palazzidifirenze,20,16.8,0.0,84.0,2.6
10101918@N08,F702,1,1282247215,1282247215,11,architetturegotichedellatoscana,483,16.9,0.0,84.0,2.6
10101918@N08,F213,1,1282247763,1282247763,11,alberghidifirenze,15,16.8,0.0,84.0,2.6
10101918@N08,F166,1,1282248323,1282248323,11,sculturemarmoree,268,16.5,0.0,85.0,4.2
10101918@N08,F159,1,1282248689,1282248689,11,operedigiambologna,304,16.5,0.0,85.0,4.2
10101918@N08,F235,1,1282248960,1282248960,11,museidiscultura,357,16.5,0.0,85.0,4.2
10101918@N08,F236,1,1282249569,1282249569,11,uffizi,515,16.7,0.0,85.0,4.2
10101918@N08,F880,1,1282249637,1282249637,11,torridifirenze,385,16.5,0.0,85.0,4.2
10101918@N08,F234,1,1282249885,1282249885,11,museidiscienza,265,16.5,0.0,85.0,4.2
10101918@N08,F166,2,1282250398,1282250440,11,sculturemarmoree,268,16.5,0.0,85.0,4.2
10101918@N08,FIPOIHPC1000000648,1,1282250549,1282250549,11,palazzovecchio,27,16.5,0.0,85.0,4.2
10101918@N08,F702,1,1282482997,1282482997,12,architetturegotichedellatoscana,483,24.2,0.0,0.0,4.3
10101918@N08,F258,1,1282488688,1282488688,12,chiesedifirenze,5,22.6,0.0,0.0,2.7
10119862@N04,F249,1,1313198530,1313198530,13,torridifirenze,567,24.6,0.0,3.0,4.2
10119862@N04,F326,1,1313199529,1313199529,13,pontidifirenze,415,24.7,0.0,3.0,4.2
10119862@N04,FIPOIHPC1000000841,1,1313200977,1313200977,13,palazzidifirenze,36,26.2,0.0,5.0,2.3
10119862@N04,F107,1,1313204333,1313204333,13,sculturedilorenzoghiberti,969,26.2,0.0,5.0,2.3
10119862@N04,F868,1,1313204843,1313204843,13,torridifirenze,16,27.5,0.0,13.0,4.3
10128518@N07,F202,1,1192233317,1192233317,14,tabernacolidifirenze,27,11.8,0.0,4.0,5.6
10128518@N07,F249,1,1192234650,1192234650,14,torridifirenze,567,16.6,0.0,10.0,4.3
10128518@N07,F166,1,1192234764,1192234764,14,sculturemarmoree,268,16.5,0.0,10.0,4.3
10135509@N04,F107,3,1210976139,1210976538,15,sculturedilorenzoghiberti,969,15.1,0.2,100.0,2.9
10135509@N04,F151,10,1210977470,1210978228,15,piazzedifirenze,780,15.1,0.2,100.0,2.9
10135509@N04,F235,1,1210978421,1210978421,15,museidiscultura,357,15.0,0.2,100.0,2.9
10135509@N04,F236,2,1210978784,1210979147,15,uffizi,515,15.2,0.2,100.0,2.9
10135509@N04,F256,4,1210979354,1210979479,15,pontidifirenze,1150,17.5,0.2,99.0,2.9
10135509@N04,F326,2,1210980281,1210986049,15,pontidifirenze,415,17.5,0.2,99.0,2.9
10135509@N04,F674,2,1211039770,1211039846,16,piazzedifirenze,147,14.1,0.4,98.0,5.1
10135509@N04,F701,1,1211040899,1211040899,16,piazzedifirenze,399,13.3,0.5,100.0,5.2
10135509@N04,F120,4,1211048492,1211048623,16,sculturedinannidibanco,699,12.9,0.2,94.0,4.6
10135509@N04,F106,6,1211049350,1211049656,16,architettureromanichedifirenze,535,13.0,0.2,94.0,4.6
10135509@N04,F107,2,1211049857,1211049875,16,sculturedilorenzoghiberti,969,13.0,0.2,94.0,4.6
10135509@N04,F271,1,1211065516,1211065516,16,torridifirenze,29,16.5,0.0,91.0,2.6
10135509@N04,F315,1,1211125578,1211125578,17,palazzopitti,59,12.0,0.0,96.0,3.8
10135509@N04,F101,1,1211139106,1211139106,17,piazzedifirenze,284,11.3,0.0,100.0,3.0
10135509@N04,F107,2,1211139208,1211139262,17,sculturedilorenzoghiberti,969,11.4,0.0,100.0,3.0
10135509@N04,F129,1,1211139343,1211139343,17,museidiarteapplicata,79,11.3,0.0,100.0,3.0
10135509@N04,F663,3,1211143392,1211143486,17,pinacoteched'italia,34,11.1,0.0,100.0,4.3
10135509@N04,F107,1,1211146668,1211146668,17,sculturedilorenzoghiberti,969,11.6,0.0,100.0,5.1
