photoID,userID,dateTaken,poiID,poiTheme,poiFreq,seqID,temperature (C),precipitation (mm),cloud_cover (%),windspeed (km/h),dateTaken_og
12344732513,100895643@N03,1390881648,120,Leisure/Recreation,357.0,1,22.4,0.0,1.0,4.8,1390881648
12344760173,100895643@N03,1390881702,188,Place of Worship,225.0,1,22.4,0.0,1.0,4.8,1390881702
12321530175,100895643@N03,1391604753,190,Transport,351.0,2,16.4,0.0,0.0,12.2,1391604753
12321735773,100895643@N03,1391604757,120,Leisure/Recreation,357.0,2,16.4,0.0,0.0,12.2,1391604757
12322029584,100895643@N03,1391604759,120,Leisure/Recreation,357.0,2,16.4,0.0,0.0,12.2,1391604759
12322044814,100895643@N03,1391604761,120,Leisure/Recreation,357.0,2,16.4,0.0,0.0,12.2,1391604761
11768725924,101884347@N06,1386981574,97,Office,148.0,3,16.2,0.0,90.0,17.0,1386981574
11769094426,101884347@N06,1386981692,97,Office,148.0,3,16.2,0.0,90.0,17.0,1386981692
11768756124,101884347@N06,1386981972,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386981972
11768597463,101884347@N06,1386982105,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982105
11768762064,101884347@N06,1386982179,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982179
11768766564,101884347@N06,1386982233,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982233
11768359575,101884347@N06,1386982272,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982272
11768616573,101884347@N06,1386982312,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982312
11768619193,101884347@N06,1386982409,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982409
11768378535,101884347@N06,1386982466,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982466
11768382115,101884347@N06,1386982608,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982608
11768636943,101884347@N06,1386982652,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982652
11768643743,101884347@N06,1386982675,189,Place Of Assembly,765.0,3,16.1,0.0,90.0,17.0,1386982675
1145062626,10195518@N02,1187169555,6,Place of Worship,67.0,5,5.4,0.0,95.0,9.0,1187169555
1144222893,10195518@N02,1187169711,6,Place of Worship,67.0,5,5.4,0.0,95.0,9.0,1187169711
1144228037,10195518@N02,1187170303,241,Place Of Assembly,23.0,5,5.4,0.0,95.0,9.0,1187170303
1144230811,10195518@N02,1187170897,177,Place Of Assembly,133.0,5,5.4,0.0,95.0,9.0,1187170897
1144232633,10195518@N02,1187171006,177,Place Of Assembly,133.0,5,5.4,0.0,95.0,9.0,1187171006
1144233905,10195518@N02,1187171230,177,Place Of Assembly,133.0,5,5.4,0.0,95.0,9.0,1187171230
1145077564,10195518@N02,1187171866,6,Place of Worship,67.0,5,5.4,0.0,95.0,9.0,1187171866
1145079518,10195518@N02,1187172158,203,Mixed Use,176.0,5,5.1,0.0,96.0,10.0,1187172158
1307742690,10195518@N02,1188620918,131,Place Of Assembly,331.0,6,9.9,0.0,0.0,11.5,1188620918
1301885704,10195518@N02,1188622886,123,Leisure/Recreation,258.0,6,9.2,0.0,0.0,11.9,1188622886
8168308523,10512081@N00,1336354868,213,Leisure/Recreation,105.0,33,12.9,0.0,28.0,23.8,1336354868
8168337438,10512081@N00,1336355665,4,Leisure/Recreation,96.0,33,12.8,0.0,28.0,23.8,1336355665
375423542,10559879@N00,1170206723,62,Place Of Assembly,113.0,35,16.3,0.0,0.0,21.2,1170206723
375423620,10559879@N00,1170211240,12,Place of Worship,95.0,35,15.3,0.0,0.0,18.1,1170211240
2109545695,10559879@N00,1197595179,177,Place Of Assembly,133.0,45,28.7,0.0,69.0,9.7,1197595179
2110184894,10559879@N00,1197595510,62,Place Of Assembly,113.0,45,28.7,0.0,69.0,9.7,1197595510
2109413461,10559879@N00,1197595896,62,Place Of Assembly,113.0,45,28.7,0.0,69.0,9.7,1197595896
2109409479,10559879@N00,1197595963,62,Place Of Assembly,113.0,45,28.7,0.0,69.0,9.7,1197595963
2109413707,10559879@N00,1197596758,62,Place Of Assembly,113.0,45,28.7,0.0,69.0,9.7,1197596758
2109554071,10559879@N00,1197598202,38,Community Use,455.0,45,26.6,0.0,73.0,13.9,1197598202
2110329652,10559879@N00,1197598209,38,Community Use,455.0,45,26.6,0.0,73.0,13.9,1197598209
2110344020,10559879@N00,1197598316,235,Retail,529.0,45,26.6,0.0,73.0,13.9,1197598316
