photoID,userID,dateTaken,poiID,poiTheme,poiFreq,seqID,temperature (C),precipitation (mm),cloud_cover (%),windspeed (km/h),dateTaken_og
2353261609,10014440@N06,1206164087,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164087
2353261849,10014440@N06,1206164345,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164345
2353262119,10014440@N06,1206164359,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164359
2354094742,10014440@N06,1206164441,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164441
2354094948,10014440@N06,1206164682,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164682
2353262749,10014440@N06,1206164752,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164752
2354095498,10014440@N06,1206164813,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206164813
2353263415,10014440@N06,1206165275,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206165275
2354096154,10014440@N06,1206165278,23,Shopping,1874.0,8,-8.8,0.0,97.0,17.5,1206165278
2353264057,10014440@N06,1206165702,23,Shopping,1874.0,8,-7.8,0.0,53.0,19.6,1206165702
2353265815,10014440@N06,1206168673,24,Shopping,1028.0,8,-7.2,0.0,53.0,19.6,1206168673
2354098306,10014440@N06,1206169035,24,Shopping,1028.0,8,-7.2,0.0,53.0,19.6,1206169035
2353266225,10014440@N06,1206169058,24,Shopping,1028.0,8,-7.2,0.0,53.0,19.6,1206169058
2354098696,10014440@N06,1206169260,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169260
2353266567,10014440@N06,1206169291,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169291
2354099032,10014440@N06,1206169364,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169364
2353266951,10014440@N06,1206169380,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169380
2353267141,10014440@N06,1206169405,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169405
2353267351,10014440@N06,1206169450,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169450
2353267553,10014440@N06,1206169518,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169518
2354100206,10014440@N06,1206169617,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169617
2354100382,10014440@N06,1206169712,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169712
2354100586,10014440@N06,1206169887,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169887
2354100820,10014440@N06,1206169920,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169920
2353268809,10014440@N06,1206169946,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206169946
2353269009,10014440@N06,1206170032,24,Shopping,1028.0,8,-5.9,0.0,16.0,19.3,1206170032
