poiID,poiName_og,poiName,poiTheme_og,poiTheme,source
F592,Monastero_di_Sant'Orsola,Monastery of Saint Ursula,chiesedifirenze,churches of Florence,Wikipedia
F592,Monastero_di_Sant'Orsola,Monastery of Saint Ursula,chiesesconsacratedifirenze,consecrated churches of Florence,Wikipedia
F592,Monastero_di_Sant'Orsola,Monastery of Saint Ursula,chiesededicateasant'orsola,churches dedicated to Saint Ursula,Wikipedia
F679,Fontana_del_Porcellino,Fountain of the Little Piglet,fontanedifirenze,Fountains of Florence,Wikipedia
F222,Carcere_delle_Stinche,Prison of the Stinche,storiadifirenze,history of Florence,Wikipedia
F222,Carcere_delle_Stinche,Prison of the Stinche,carceriitalianestoriche,historic Italian prisons,Wikipedia
F222,Carcere_delle_Stinche,Prison of the Stinche,architetturescomparsedifirenze,lost architectures of Florence,Wikipedia
F222,Carcere_delle_Stinche,Prison of the Stinche,carceridifirenze,prisons of Florence,Wikipedia
F855,Giardino_di_San_Marco,Garden of San Marco,giardinidifirenze,Gardens of Florence,Wikipedia
F855,Giardino_di_San_Marco,Garden of San Marco,architetturescomparsedifirenze,lost architectures of Florence,Wikipedia
F780,Galleria_Rinaldo_Carnielo,Rinaldo Carnielo Gallery,museidifirenze,museums of Florence,Wikipedia
F780,Galleria_Rinaldo_Carnielo,Rinaldo Carnielo Gallery,casemuseo,house museum,Wikipedia
F682,Chiesa_di_Santa_Maria_degli_Ughi,Church of Santa Maria degli Ughi,chiesescomparsedifirenze,lost churches of Florence,Wikipedia
F682,Chiesa_di_Santa_Maria_degli_Ughi,Church of Santa Maria degli Ughi,edificidicultodedicatiamaria,buildings dedicated to Mary,Wikipedia
F267,Palazzo_Guicciardini,Guicciardini Palace,palazzidifirenze,Palaces of Florence,Wikipedia
F267,Palazzo_Guicciardini,Guicciardini Palace,residenzedeiguicciardini,Guicciardini Residences,Wikipedia
F540,Museo_nazionale_Alinari_della_fotografia,National Museum of Photography Alinari,museidifirenze,museums of Florence,Wikipedia
F540,Museo_nazionale_Alinari_della_fotografia,National Museum of Photography Alinari,museidifotografia,photography museums,Wikipedia
F540,Museo_nazionale_Alinari_della_fotografia,National Museum of Photography Alinari,loggedifirenze,Florence logs,Wikipedia
F763,Chiesa_di_Nostra_Signora_degli_Angeli,Church of Our Lady of the Angels,chiesedifirenze,churches of Florence,Wikipedia
