poiID,theme,lat,long,Og_POI_Mark,City,PoIName_Italian,PoIName_English,PoILocation_Alias
1,esercizistoricidifirenze,43.7735694444,11.255675,F128,Firenze,Bottegone (Firenze),Bottegone (Florence),
2,scultureafirenze,43.7733277778,11.2565277778,F120,Firenze,Porta della Mandorla,Gate of the Mandorla,
3,museidifirenze,43.7727722222,11.2557861111,F110,Firenze,Campanile di Giotto,Bell Tower of Giotto,Giotto's Campanile
4,piazzedifirenze,43.7729555556,11.2547555556,F101,Firenze,Piazza San Giovanni (Firenze),Square Saint Giovanni (Florence),
5,palazzidelleartidifirenze,43.7699555556,11.2551555556,F149,Firenze,Palazzo dell'Arte dei Mercatanti,Palace of the Arte of the Mercatanti,
6,sculturedipiazzadellasignoria,43.7697777778,11.2560111111,F168,Firenze,Statua equestre di Cosimo I de' Medici,Statue Equestre of Cosimo I De' Medici,
7,sculturedibenvenutocellini,43.7692194444,11.2557805556,F158,Firenze,Perseo con la testa di Medusa,Perseo Con La Testa of Medusa,
8,museidifirenze,43.7682027778,11.2540472222,F236,Firenze,Corridoio Vasariano,Corridor Vasariano,Vasari Corridor
9,pontidifirenze,43.7679888889,11.2531916667,F256,Firenze,Ponte Vecchio,Bridge Vecchio,Ponte Vecchio
10,fontanedifirenze,43.76985,11.2542638889,F679,Firenze,Fontana del Porcellino,Fountain of the Porcellino,Porcellino
11,caffèstoricidifirenze,43.7695777778,11.2552,F176,Firenze,Rivoire,Rivoire,
12,chiesedifirenze,43.7731972222,11.2551944444,F106,Firenze,Battistero di San Giovanni (Firenze),Baptistery of Saint Giovanni (Florence),Florence Baptistery
13,architetturedifirenze,43.7733333333,11.2572944444,F121,Firenze,Cupola del Brunelleschi,Dome of the Brunelleschi,
14,palazzidifirenze,43.7725083333,11.2567222222,F127,Firenze,Palazzo dei Canonici,Palace of the Canonici,
15,palazzidifirenze,43.7742222222,11.2565611111,F665,Firenze,Palazzo di Bettino Ricasoli,Palace of Bettino Ricasoli,
16,palazzimunicipalid'italia,43.76931,11.25617,F152,Firenze,Palazzo Vecchio,Palace Vecchio,Palazzo Vecchio
17,museodell'operadelduomodifirenze,43.773075,11.2578694444,F126,Firenze,Museo dell'Opera del Duomo (Firenze),Museum of the Opera of the Duomo (Florence),
18,palazzidifirenze,43.7736833333,11.2574138889,F660,Firenze,Palazzetto Del Bianco,Palazzetto of the Bianco,
19,stradedifirenze,43.7755444444,11.2577305556,F662,Firenze,Via Ricasoli,Street Ricasoli,
20,piazzedifirenze,43.7695861111,11.2557666667,F151,Firenze,Piazza della Signoria,Square of the Signoria,Piazza della Signoria
21,chiesescomparsedifirenze,43.7700388889,11.25565,F170,Firenze,Chiesa di San Romolo,Church of Saint Romolo,
22,museidiscienza,43.7677555556,11.2559555556,F234,Firenze,Museo di storia della scienza,Museum of Storia of the Scienza,Institute and Museum of the History of Science
23,torridifirenze,43.7685611111,11.2550722222,F249,Firenze,Torre dei Pulci,Tower of the Pulci,
24,palazzidifirenze,43.7689888889,11.2599388889,F732,Firenze,Palazzo Peruzzi-Bourbon del Monte,Palace Peruzzi-Bourbon of the Monte,
25,palazzidifirenze,43.7730722222,11.2543305556,F103,Firenze,Palazzo Arcivescovile (Firenze),Palace Arcivescovile (Florence),
26,architetturerinascimentalidellatoscana,43.77323,11.25599,F119,Firenze,Cattedrale di Santa Maria del Fiore,Cathedral of Saint Maria of the Fiore,Florence Cathedral
27,palazzidifirenze,43.7735,11.2551194444,F104,Firenze,Opera di San Giovanni,Opera of Saint Giovanni,
28,stradedifirenze,43.7744722222,11.2498888889,F541,Firenze,Via degli Avelli,Street of the Avelli,
29,scultureasoggettoreligioso,43.7730694444,11.2552333333,F107,Firenze,Porta del Paradiso,Gate of the Paradiso,
30,palazzidifirenze,43.7667722222,11.2610277778,F727,Firenze,Palazzina Brogi,Pavilion Brogi,
31,basilicadisantacroce,43.76849,11.26231,F702,Firenze,Basilica di Santa Croce,Basilica of Saint Croce,"Basilica of Santa Croce, Florence"
