userID,poiID,seqID_old,Og_POI_Mark,numberofPhotos,startTime,stopTime,poiFreq,seqID,chunk_index
10013963@N06,1,0,F128,1,1276780804,1276780804,188,0,1
10013963@N06,2,0,F120,5,1276781082,1276781721,608,0,1
10013963@N06,3,0,F110,2,1276781874,1276781898,669,0,1
10013963@N06,4,0,F101,1,1276782098,1276782098,253,0,1
10013963@N06,5,0,F149,2,1276783375,1276783394,75,0,1
10013963@N06,6,0,F168,1,1276783471,1276783471,324,0,1
10013963@N06,7,0,F158,4,1276783915,1276783978,313,0,1
10013963@N06,8,0,F236,4,1276784377,1276785135,421,0,1
10013963@N06,9,0,F256,2,1276785330,1276785521,964,0,1
10013963@N06,10,0,F679,1,1276785948,1276785948,126,0,1
10013963@N06,11,0,F176,1,1276786064,1276786064,141,0,1
10013963@N06,5,0,F149,1,1276786100,1276786100,75,0,1
10013963@N06,12,0,F106,1,1276786574,1276786574,479,0,1
10013963@N06,13,0,F121,1,1276787923,1276787923,400,0,1
10013963@N06,2,0,F120,1,1276787965,1276787965,608,0,1
10013963@N06,13,0,F121,11,1276788121,1276789403,400,0,1
10013963@N06,14,0,F127,2,1276789425,1276789647,206,0,1
10013963@N06,15,0,F665,1,1276794953,1276794953,32,0,1
10087462@N07,26,6,F119,1,1213553658,1213553658,512,6,1
10087462@N07,1,6,F128,5,1213553695,1213553892,188,6,1
10087462@N07,27,6,F104,1,1213555357,1213555357,169,6,1
10087462@N07,1,6,F128,3,1213555414,1213555789,188,6,1
10101697@N02,28,10,F541,1,1282836944,1282836944,80,10,1
10101697@N02,26,10,F119,1,1282838839,1282838839,512,10,1
10101697@N02,29,10,F107,1,1282840323,1282840323,847,10,1
10101697@N02,2,10,F120,1,1282842658,1282842658,608,10,1
10101697@N02,13,10,F121,1,1282843655,1282843655,400,10,1
10101697@N02,17,10,F126,1,1282843779,1282843779,109,10,1
10101697@N02,9,10,F256,1,1282848743,1282848743,964,10,1
10101918@N08,30,11,F727,1,1282247109,1282247109,19,11,1
10101918@N08,31,11,F702,1,1282247215,1282247215,448,11,1
10101918@N08,32,11,F213,1,1282247763,1282247763,11,11,1
10101918@N08,33,11,F166,1,1282248323,1282248323,243,11,1
10101918@N08,34,11,F159,1,1282248689,1282248689,270,11,1
10101918@N08,35,11,F235,1,1282248960,1282248960,327,11,1
10101918@N08,8,11,F236,1,1282249569,1282249569,421,11,1
10101918@N08,36,11,F880,1,1282249637,1282249637,335,11,1
10101918@N08,22,11,F234,1,1282249885,1282249885,233,11,1
10101918@N08,33,11,F166,2,1282250398,1282250440,243,11,1
10101918@N08,37,11,FIPOIHPC1000000648,1,1282250549,1282250549,25,11,1
10128518@N07,41,14,F202,1,1192233317,1192233317,27,14,1
10128518@N07,23,14,F249,1,1192234650,1192234650,492,14,1
10128518@N07,33,14,F166,1,1192234764,1192234764,243,14,1
10135509@N04,42,16,F674,2,1211039770,1211039846,130,16,1
10135509@N04,43,16,F701,1,1211040899,1211040899,342,16,1
10135509@N04,2,16,F120,4,1211048492,1211048623,608,16,1
10135509@N04,12,16,F106,6,1211049350,1211049656,479,16,1
10135509@N04,29,16,F107,2,1211049857,1211049875,847,16,1
10135509@N04,44,16,F271,1,1211065516,1211065516,26,16,1
10155298@N00,48,18,F304,1,1169215541,1169215541,13,18,1
10155298@N00,9,18,F256,1,1169216058,1169216058,964,18,1
10155298@N00,35,18,F235,1,1169217628,1169217628,327,18,1
10155298@N00,49,18,F160,1,1169217761,1169217761,346,18,1
10155298@N00,7,18,F158,2,1169217827,1169217853,313,18,1
10155298@N00,16,18,F152,1,1169217952,1169217952,476,18,1
10155298@N00,50,18,F173,1,1169218210,1169218210,54,18,1
10155298@N00,51,18,F305,1,1169219142,1169219142,90,18,1
10155298@N00,52,18,FIPOIHPC1000000296,1,1169222100,1169222100,54,18,1
10155298@N00,53,18,F484,2,1169222297,1169222313,24,18,1
10155298@N00,54,18,F483,2,1169222422,1169222539,23,18,1
10155298@N00,55,18,F469,1,1169222661,1169222661,4,18,1
10155298@N00,56,18,F468,1,1169222675,1169222675,43,18,1
10155298@N00,57,18,F466,1,1169222728,1169222728,6,18,1
10155298@N00,58,18,F479,2,1169222938,1169223650,13,18,1
10155298@N00,59,19,F699,1,1169300246,1169300246,92,19,1
10155298@N00,26,19,F119,1,1169302598,1169302598,512,19,1
10155298@N00,2,19,F120,2,1169303398,1169304221,608,19,1
10155298@N00,60,19,F586,3,1169310079,1169310150,107,19,1
10155298@N00,35,19,F235,1,1169323016,1169323016,327,19,1
10155298@N00,9,19,F256,1,1169325440,1169325440,964,19,1
10164907@N06,63,24,F481,1,1199218148,1199218148,27,24,1
10164907@N06,64,24,F808,1,1199218200,1199218200,195,24,1
10164907@N06,9,24,F256,2,1199219233,1199219247,964,24,1
10226264@N04,65,27,F301,1,1320070581,1320070581,7,27,1
10226264@N04,66,27,F399,1,1320071651,1320071651,13,27,1
10226264@N04,67,27,F257,1,1320075009,1320075009,134,27,1
10226264@N04,68,27,F431,1,1320081655,1320081655,367,27,1
10248326@N08,23,30,F249,2,1255782021,1255782045,492,30,1
10248326@N08,20,30,F151,6,1255786365,1255797394,687,30,1
10248326@N08,36,30,F880,4,1255809878,1255814620,335,30,1
10248326@N08,69,31,F136,3,1255877923,1255877938,83,31,1
10248326@N08,29,31,F107,5,1255878098,1255878198,847,31,1
10248326@N08,12,31,F106,1,1255878400,1255878400,479,31,1
10248326@N08,46,31,F129,1,1255883096,1255883096,69,31,1
10248326@N08,17,31,F126,1,1255883418,1255883418,109,31,1
10248326@N08,29,31,F107,2,1255889057,1255889065,847,31,1
10248326@N08,26,31,F119,3,1255889456,1255890057,512,31,1
10248326@N08,3,31,F110,27,1255890578,1255891812,669,31,1
10281460@N06,42,33,F674,1,1239454448,1239454448,130,33,1
10281460@N06,68,33,F431,1,1239454801,1239454801,367,33,1
10281460@N06,42,33,F674,4,1239454803,1239454939,130,33,1
10281460@N06,70,33,F108,1,1239458341,1239458341,368,33,1
10281460@N06,71,33,FIPOIHPC1000000911,1,1239459319,1239459319,43,33,1
10281460@N06,8,33,F236,1,1239460143,1239460143,421,33,1
10281460@N06,20,33,F151,2,1239460680,1239460983,687,33,1
10281460@N06,72,33,F204,1,1239466678,1239466678,26,33,1
10281460@N06,73,33,F245,1,1239470142,1239470142,32,33,1
10294034@N07,74,34,FIPOIHPC1000000027,1,1185886113,1185886113,100,34,1
10294034@N07,4,34,F101,1,1185889566,1185889566,253,34,1
10294034@N07,14,34,F127,1,1185892101,1185892101,206,34,1
10294034@N07,13,34,F121,3,1185892545,1185893153,400,34,1
10294034@N07,75,34,F712,1,1185896987,1185896987,61,34,1
10294034@N07,76,34,F867,1,1185897743,1185897743,43,34,1
10294034@N07,77,34,F470,1,1185898132,1185898132,12,34,1
10294034@N07,78,34,FIPOIHPC1000000962,2,1185898625,1185898639,4,34,1
10294034@N07,79,34,F471,2,1185898982,1185899025,66,34,1
10294034@N07,9,34,F256,2,1185906252,1185906295,964,34,1
10294034@N07,23,34,F249,2,1185906438,1185906489,492,34,1
10294034@N07,80,34,FIPOIHPC1000000871,1,1185906829,1185906829,47,34,1
10294034@N07,81,34,F161,1,1185907051,1185907051,77,34,1
10298279@N03,82,35,FIPOIHPC1000000583,1,1303065231,1303065231,2,35,1
10298279@N03,6,35,F168,1,1303068856,1303068856,324,35,1
10298279@N03,7,35,F158,1,1303069038,1303069038,313,35,1
10303539@N00,4,37,F101,6,1285270700,1285270926,253,37,1
10303539@N00,86,37,F583,1,1285274978,1285274978,19,37,1
10303539@N00,87,37,F566,2,1285275334,1285275379,149,37,1
10303539@N00,88,37,F585,1,1285286312,1285286312,55,37,1
10303539@N00,104,38,F677,2,1285376930,1285376974,41,38_2,2
10305258@N02,104,40,F677,1,1187539826,1187539826,41,40,1
10305258@N02,23,40,F249,1,1187548357,1187548357,492,40,1
10305258@N02,20,40,F151,1,1187550529,1187550529,687,40,1
10305258@N02,99,40,F324,1,1187561373,1187561373,64,40,1
10310250@N02,26,41,F119,9,1187976495,1187985509,512,41,1
10310250@N02,105,41,F147,1,1187985631,1187985631,32,41,1
10310250@N02,106,41,F237,6,1187986020,1187996414,34,41,1
10310250@N02,107,41,F292,5,1187997824,1187998920,11,41,1
10342013@N03,108,44,F517,1,1230906722,1230906722,30,44,1
10342013@N03,20,44,F151,3,1230912900,1230913273,687,44,1
10342013@N03,81,44,F161,1,1230918740,1230918740,77,44,1
10370437@N06,26,46,F119,1,1249224539,1249224539,512,46,1
10370437@N06,3,46,F110,1,1249226977,1249226977,669,46,1
10370437@N06,9,46,F256,1,1249229740,1249229740,964,46,1
10458880@N04,70,48,F108,1,1192437137,1192437137,368,48,1
10458880@N04,1,48,F128,1,1192437205,1192437205,188,48,1
10458880@N04,111,48,F135,1,1192453998,1192453998,58,48,1
10468135@N08,76,49,F867,1,1335786488,1335786488,43,49_1,1
10468135@N08,75,49,F712,2,1335786978,1335787005,61,49_1,1
10468135@N08,112,49,F724,2,1335787508,1335787560,31,49_1,1
10468135@N08,64,49,F808,1,1335787646,1335787646,195,49_1,1
10468135@N08,113,49,F720,2,1335787932,1335787986,14,49_1,1
10468135@N08,114,49,F722,1,1335788251,1335788251,17,49_1,1
10468135@N08,115,49,F718,1,1335789314,1335789314,24,49_1,1
