userID,seqID,poiID,photoID,poiTheme,poiFreq,temperature (C),precipitation (mm),cloud_cover (%),windspeed (km/h),dateTaken
10681948@N00,113,50,"[7960686740, 7960723484]",Leisure/Recreation,12.0,6.9,0.0,79.0,7.5,"[1347174035, 1347174473]"
10681948@N00,113,124,[7960467254],Place Of Assembly,187.0,7.4,0.0,80.0,6.7,[1347170387]
10681948@N00,113,125,[7960386150],Place Of Assembly,116.0,7.4,0.0,80.0,6.7,[1347169007]
10896675@N00,115,51,"[8555496715, 8556609412, 8556611970]",Place Of Assembly,97.0,24.7,0.0,57.0,8.7,"[1362882407, 1362882422, 1362883560]"
10896675@N00,115,65,[8556605918],Community Use,500.0,26.1,0.0,46.0,10.0,[1362879115]
10896675@N00,115,131,[8555510607],Place Of Assembly,331.0,19.9,0.0,14.0,4.5,[1362908347]
10896675@N00,115,230,[8556623222],Community Use,476.0,19.7,0.0,20.0,4.2,[1362912547]
10936890@N00,117,4,[331533084],Leisure/Recreation,96.0,19.3,0.0,58.0,5.8,[1163907941]
10936890@N00,117,90,[331533026],Community Use,396.0,19.4,0.0,58.0,5.8,[1163906993]
10936890@N00,117,124,[331533148],Place Of Assembly,187.0,17.5,0.0,99.0,5.5,[1163909112]
10936890@N00,117,136,[331533219],Transport,327.0,16.2,0.0,99.0,4.7,[1163912419]
10936890@N00,117,163,[331533354],Transport,91.0,15.9,0.0,97.0,4.7,[1163916571]
10936890@N00,117,188,[331532955],Place of Worship,225.0,19.4,0.0,58.0,5.8,[1163905407]
10936890@N00,117,190,[331532686],Transport,351.0,22.2,0.0,100.0,5.8,[1163900800]
10936890@N00,117,201,[331533274],Mixed Use,104.0,16.3,0.0,99.0,4.7,[1163914197]
10936890@N00,117,230,"[331532744, 331532836]",Community Use,476.0,22.2,0.0,100.0,5.8,"[1163900830, 1163900859]"
10966462@N02,119,12,[8208089890],Place of Worship,95.0,16.9,0.0,4.0,18.1,[1353545964]
10966462@N02,119,47,"[8208095702, 8208101636]",Retail,473.0,14.8,0.0,14.0,11.5,"[1353550725, 1353551312]"
10966462@N02,119,65,"[8208091296, 8206999303, 8206999671, 8206999891, 8212761718]",Community Use,500.0,15.940000000000001,0.0,19.2,16.44,"[1353545857, 1353545868, 1353545875, 1353545883, 1353566409]"
10966462@N02,119,201,[8208096330],Mixed Use,104.0,14.7,0.0,14.0,11.5,[1353552578]
10966462@N02,119,202,"[8207010091, 8208096744, 8208100544, 8208101886]",Transport,358.0,15.3,0.0,22.5,12.325,"[1353542032, 1353552600, 1353553473, 1353554268]"
12238277@N04,151,38,"[8450080896, 8450081550, 8450082224, 8448997925]",Community Use,455.0,27.3,0.0,4.0,14.8,"[1360021494, 1360021531, 1360021556, 1360021623]"
12238277@N04,151,216,[8448984001],Place Of Assembly,25.0,28.4,0.0,0.0,9.1,[1360014766]
12238277@N04,151,217,"[8448985585, 8448988003]",Community Use,44.0,28.3,0.0,0.0,9.1,"[1360014883, 1360014927]"
12284993@N00,158,2,[2233713674],Mixed Use,138.0,13.5,0.0,98.0,12.6,[1197711550]
12284993@N00,158,188,[2233713908],Place of Worship,225.0,13.7,0.0,97.0,13.7,[1197707202]
