userID,seqID,poiID,photoID,poiTheme,poiFreq,temperature (C),precipitation (mm),cloud_cover (%),windspeed (km/h),dateTaken
10502709@N05,58,7,"[901938233, 902796036, 902799728]",Cultural,2064.0,15.9,0.0,33.0,1.866666666666667,"[1180745959, 1180749173, 1180751261]"
10502709@N05,58,11,[901950765],Cultural,4142.0,19.5,0.0,6.0,1.8,[1180762851]
10502709@N05,58,27,"[902813106, 901957187]",Shopping,631.0,20.8,0.0,0.0,3.6,"[1180764267, 1180764509]"
10502709@N05,67,22,"[2527130262, 2526343239, 2527190942]",Beach,3619.0,14.366666666666667,0.0,0.0,11.833333333333334,"[1211647414, 1211649339, 1211649578]"
10502709@N05,67,23,"[2526258507, 2526263063, 2527104166, 2526285615, 2526305343]",Shopping,1874.0,15.84,0.0,0.0,11.82,"[1211641612, 1211641779, 1211645918, 1211646422, 1211646745]"
10502709@N05,67,28,"[2527040098, 2527051236, 2527063346, 2526396031]",Structure,936.0,16.275,0.0,18.25,13.225,"[1211634164, 1211639598, 1211641405, 1211651552]"
10627620@N06,100,21,"[7012219773, 7012219623, 7012219449, 7012219283]",Beach,3594.0,8.9,0.0,98.0,23.1,"[1332543210, 1332543220, 1332543296, 1332543396]"
10627620@N06,100,23,"[6866104918, 6866104830]",Shopping,1874.0,8.5,0.0,100.0,24.2,"[1332546123, 1332546308]"
10627620@N06,100,30,"[7153986019, 7153986793, 7153989169, 7153989769, 7153990155, 7153990307, 7153990723, 7153991159, 7153991621, 7153992163, 7153992589, 7153993021, 7153993455, 7153993971, 7153994423, 7153994833, 7153995279, 7153995719, 7153996225, 7153996697, 7153997169, 7153997533, 7153998057, 7154000659, 7154001103]",Structure,1538.0,7.224,0.0,100.0,21.848000000000003,"[1332553614, 1332553679, 1332554601, 1332554773, 1332554845, 1332554861, 1332554893, 1332554963, 1332555015, 1332555170, 1332555361, 1332555436, 1332555479, 1332555492, 1332555556, 1332555707, 1332555912, 1332555984, 1332556158, 1332556188, 1332556336, 1332556381, 1332556529, 1332556748, 1332556920]"
11090433@N05,139,3,"[2914783857, 2914785151, 2914786699, 2915633034, 2915634248, 2914790703]",Sport,688.0,13.6,0.0,83.0,7.2,"[1223126698, 1223126718, 1223126775, 1223126801, 1223126848, 1223126959]"
11090433@N05,139,22,"[2914803911, 2915650456, 2915651984, 2914808635, 2915654898, 2915656220, 2915659126, 2915385963]",Beach,3619.0,12.575000000000001,0.0,78.375,5.2875000000000005,"[1223129228, 1223129243, 1223129283, 1223129309, 1223129333, 1223129407, 1223129574, 1223170932]"
11090433@N05,139,23,"[2915641858, 2914798497, 2914799735, 2915645878, 2914802389]",Shopping,1874.0,13.419999999999998,0.0,82.4,6.0,"[1223128760, 1223128783, 1223128827, 1223128882, 1223128905]"
11090433@N05,139,30,"[2915782630, 2914939101, 2914940623, 2915786936, 2914943585, 2914944851, 2915790794, 2914947609, 2915793638, 2915781240]",Structure,1538.0,11.129999999999999,0.0,49.6,6.04,"[1223140871, 1223141484, 1223141505, 1223141543, 1223141639, 1223141654, 1223141675, 1223141690, 1223141715, 1223162520]"
11191102@N07,155,4,[8442147862],Sport,3056.0,-8.5,0.0,70.0,5.9,[1359157949]
11191102@N07,155,16,"[8442103470, 8442114364, 8441032215, 8442133716, 8441049881]",Amusement,3553.0,-8.5,0.0,70.0,5.9,"[1359156533, 1359156879, 1359157139, 1359157452, 1359157638]"
11191102@N07,155,22,"[8442079786, 8442040454]",Beach,3619.0,-10.3,0.0,80.0,5.0,"[1359177182, 1359177573]"
11191102@N07,157,11,[8890108360],Cultural,4142.0,6.5,0.0,16.0,16.7,[1369454965]
11191102@N07,157,23,[8889931252],Shopping,1874.0,5.6,0.0,11.0,15.3,[1369453726]
11191102@N07,157,27,"[8890080202, 8889433613, 8890042526, 8890004046, 8889988788, 8890100102, 8890027260]",Shopping,631.0,5.714285714285714,0.0,2.5714285714285716,16.52857142857143,"[1369445048, 1369445438, 1369445658, 1369446572, 1369447536, 1369456689, 1369460177]"
11191102@N07,162,7,"[11638155296, 11638107386, 11637664374, 11637199835, 11637142205, 11637884626]",Cultural,2064.0,-8.2,0.3,100.0,21.3,"[1387003156, 1387003434, 1387003457, 1387003576, 1387003628, 1387003795]"
11191102@N07,162,22,"[11637380564, 11637283604, 11637338424]",Beach,3619.0,-8.4,0.4000000000000001,100.0,23.900000000000002,"[1387007295, 1387007937, 1387008510]"
11191102@N07,162,30,[11637299953],Structure,1538.0,-7.5,0.4,100.0,23.2,[1387004413]
11241023@N03,166,7,"[1409333247, 1410217274, 1409340953, 1410224950, 1410230512, 1409355207, 1410240646, 1409366277, 1410251502, 1409377481, 1410263028, 1410265466, 1410269638, 1410274700, 1410278762, 1409403633, 1409411425, 1410298884, 1410305310, 1410310986, 1409435583, 1410321458, 1410327672, 1409453335, 1409459677, 1410346404, 1410354270, 1409479599, 1410366976, 1409492723, 1410379972]",Cultural,2064.0,16.71333333333333,0.0,3.466666666666667,6.993333333333334,"[1190171771, 1190171862, 1190171917, 1190172004, 1190172088, 1190172178, 1190172257, 1190172317, 1190172377, 1190172864, 1190172969, 1190173063, 1190173098, 1190173130, 1190173281, 1190173293, 1190173409, 1190173538, 1190173591, 1190173682, 1190173816, 1190173856, 1190174124, 1190174190, 1190174316, 1190174326, 1190174338, 1190174607, 1190174741, 1190174883, 1190174968]"
11241023@N03,166,22,"[1409505835, 1409509577]",Beach,3619.0,17.8,0.0,0.0,8.7,"[1190180725, 1190180739]"
11241023@N03,166,28,"[1410394302, 1409519439, 1410405178, 1409530879, 1409538181]",Structure,936.0,18.479999999999997,0.0,0.6,9.28,"[1190181054, 1190181203, 1190181331, 1190181350, 1190185237]"
11349639@N00,169,4,[159402259],Sport,3056.0,24.2,0.0,49.0,3.6,[1148917453]
11349639@N00,169,16,[159402228],Amusement,3553.0,24.2,0.0,49.0,3.6,[1148917293]
11349639@N00,169,30,[159402267],Structure,1538.0,24.1,0.0,49.0,3.6,[1148917698]
13528098@N00,294,8,[13490360583],Cultural,1736.0,-2.6,0.0,100.0,8.2,[1396057588]
13528098@N00,294,16,"[13490520494, 13490792764]",Amusement,3553.0,-2.6,0.0,100.0,8.2,"[1396057333, 1396058111]"
13528098@N00,294,30,"[13496104344, 13497013354]",Structure,1538.0,0.4,0.0,93.0,17.200000000000003,"[1396074369, 1396077252]"
13672753@N00,302,4,[6186450835],Sport,3056.0,23.4,0.0,75.0,16.2,[1314785488]
13672753@N00,302,8,"[6186974498, 6186450751, 6186450615]",Cultural,1736.0,22.600000000000005,0.0,97.0,12.199999999999998,"[1314778187, 1314778243, 1314778424]"
13672753@N00,302,16,"[6186450905, 6186450967, 6186451223, 6186974844, 6186975198]",Amusement,3553.0,22.72,0.0,95.4,12.88,"[1314778737, 1314778746, 1314780492, 1314781887, 1314782009]"
13672753@N00,302,22,"[6186975398, 6186451753, 6186975602]",Beach,3619.0,24.0,0.0,40.0,15.4,"[1314790680, 1314790727, 1314790758]"
13907834@N00,316,11,"[4439112453, 4439898360]",Cultural,4142.0,4.3,0.0,100.0,17.3,"[1268635781, 1268635938]"
13907834@N00,316,21,[4439885786],Beach,3594.0,4.4,0.0,100.0,17.3,[1268634484]
13907834@N00,316,27,"[4439110997, 4439116625, 4439896384]",Shopping,631.0,4.3,0.0,100.0,17.3,"[1268635612, 1268635829, 1268635848]"
